date,pub_airlines,pub_code,geo_summ,geo_region,type,price,terminal,boarding_area,pax_count
2005-07-31,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,27271
2005-07-31,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,29131
2005-07-31,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,5415
2005-07-31,Air Canada,AC,International,Canada,Deplaned,Full Service,Terminal 1,B,35156
2005-07-31,Air Canada,AC,International,Canada,Enplaned,Full Service,Terminal 1,B,34090
2005-07-31,Air China,CA,International,Asia,Deplaned,Full Service,International,G,6263
2005-07-31,Air China,CA,International,Asia,Enplaned,Full Service,International,G,5500
2005-07-31,Air France,AF,International,Europe,Deplaned,Full Service,International,A,12050
2005-07-31,Air France,AF,International,Europe,Enplaned,Full Service,International,A,11638
2005-07-31,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Full Service,International,G,4998
2005-07-31,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Full Service,International,G,4962
2005-07-31,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,International,A,8055
2005-07-31,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,International,A,7984
2005-07-31,Alaska Airlines,AS,Domestic,US,Deplaned,Full Service,International,A,36641
2005-07-31,Alaska Airlines,AS,Domestic,US,Enplaned,Full Service,International,A,39379
2005-07-31,Alaska Airlines,AS,Domestic,US,Thru / Transit,Full Service,International,A,3678
2005-07-31,Alaska Airlines,AS,International,Canada,Deplaned,Full Service,International,A,7977
2005-07-31,Alaska Airlines,AS,International,Canada,Enplaned,Full Service,International,A,8837
2005-07-31,Alaska Airlines,AS,International,Mexico,Deplaned,Full Service,International,A,6969
2005-07-31,Alaska Airlines,AS,International,Mexico,Enplaned,Full Service,International,A,10046
2005-07-31,Alaska Airlines,AS,International,Mexico,Thru / Transit,Full Service,International,A,2266
2005-07-31,All Nippon Airways,NH,International,Asia,Deplaned,Full Service,International,G,6545
2005-07-31,All Nippon Airways,NH,International,Asia,Enplaned,Full Service,International,G,6094
